0	0	a deep steep sided valley carved by a river between high rock cliffs over ages
0	1	a deep steep sided valley carved by
0	2	an optical instrument with lenses that magnifies tiny objects invisible to the eye
0	3	a dea dea dea dea de
1	0	a cold treeless arctic plain where frozen subsoil permafrost blocks deep roots
1	1	a cold treeless arctic plain where 
1	2	a sudden downhill collapse of rock soil and mud sliding along a steep unstable slope
1	3	a coa coa coa coa co
2	0	a large christian church with tall vaulted stone arches and a bishop seat
2	1	a large christian church with ta
2	2	an ancient timekeeping device casting a shadow from a gnomon onto marked hour lines
2	3	a laa laa laa laa la
3	0	a large wooden string instrument played with a bow held upright between the knees
3	1	a large wooden string instrument pla
3	2	a green leafy flowerless plant that reproduces by spores with feathery curling fronds
3	3	a laa laa laa laa la
4	0	a desert arachnid with eight legs pincer claws and a venomous curved stinger tail
4	1	a desert arachnid with eight legs pi
4	2	a raised wooden platform on posts extending from shore over water for boats to dock
4	3	a dea dea dea dea de
5	0	a tower with rotating sails that harness moving air to grind grain or pump water
5	1	a tower with rotating sails that har
5	2	a severe winter storm with heavy blowing snow strong howling wind and low visibility
5	3	a toa toa toa toa to
6	0	a light handheld canopy on a stick that shades a person from bright sunlight
6	1	a light handheld canopy on a stick
6	2	a naturally magnetic mineral rock that attracts iron and points toward the far north
6	3	a lia lia lia lia li
7	0	a mound of soil built by a colony of tiny insects housing tunnels for their queen
7	1	a mound of soil built by a colony of
7	2	a tall vertical pole rising from a ship deck that holds up the sails and the rigging
7	3	a moa moa moa moa mo
8	0	an optical instrument with lenses that magnifies tiny objects invisible to the eye
8	1	an optical instrument with lenses th
8	2	a deep steep sided valley carved by a river between high rock cliffs over ages
8	3	an oan oan oan oan o
9	0	a sudden downhill collapse of rock soil and mud sliding along a steep unstable slope
9	1	a sudden downhill collapse of rock so
9	2	a cold treeless arctic plain where frozen subsoil permafrost blocks deep roots
9	3	a sua sua sua sua su
10	0	an ancient timekeeping device casting a shadow from a gnomon onto marked hour lines
10	1	an ancient timekeeping device casting
10	2	a large christian church with tall vaulted stone arches and a bishop seat
10	3	an aan aan aan aan a
11	0	a green leafy flowerless plant that reproduces by spores with feathery curling fronds
11	1	a green leafy flowerless plant that re
11	2	a large wooden string instrument played with a bow held upright between the knees
11	3	a gra gra gra gra gr
12	0	a raised wooden platform on posts extending from shore over water for boats to dock
12	1	a raised wooden platform on posts ext
12	2	a desert arachnid with eight legs pincer claws and a venomous curved stinger tail
12	3	a raa raa raa raa ra
13	0	a severe winter storm with heavy blowing snow strong howling wind and low visibility
13	1	a severe winter storm with heavy blow
13	2	a tower with rotating sails that harness moving air to grind grain or pump water
13	3	a sea sea sea sea se
14	0	a naturally magnetic mineral rock that attracts iron and points toward the far north
14	1	a naturally magnetic mineral rock tha
14	2	a light handheld canopy on a stick that shades a person from bright sunlight
14	3	a naa naa naa naa na
15	0	a tall vertical pole rising from a ship deck that holds up the sails and the rigging
15	1	a tall vertical pole rising from a sh
15	2	a mound of soil built by a colony of tiny insects housing tunnels for their queen
15	3	a taa taa taa taa ta
