canyon	0	15	6
canyon	1	5	10
canyon	2	15	7
tundra	0	10	1
tundra	1	10	15
tundra	2	7	14
cathedral	0	13	6
cathedral	1	11	11
cathedral	2	12	13
cello	0	1	10
cello	1	9	10
cello	2	5	6
scorpion	0	9	4
scorpion	1	1	15
scorpion	2	16	15
windmill	0	10	1
windmill	1	9	8
windmill	2	9	8
parasol	0	3	10
parasol	1	1	11
parasol	2	8	7
anthill	0	1	11
anthill	1	11	4
anthill	2	14	1
microscope	0	14	4
microscope	1	8	5
microscope	2	4	1
landslide	0	11	1
landslide	1	1	10
landslide	2	11	4
sundial	0	6	4
sundial	1	7	11
sundial	2	7	12
fern	0	10	13
fern	1	3	15
fern	2	11	7
pier	0	8	6
pier	1	14	7
pier	2	1	11
blizzard	0	13	11
blizzard	1	13	12
blizzard	2	12	2
lodestone	0	12	10
lodestone	1	15	13
lodestone	2	13	16
mast	0	16	6
mast	1	10	13
mast	2	2	14
